Approved Symbol	Ensembl Gene ID
ADAMTS8	ENSG00000134917
ADAR	ENSG00000160710
ADARB1	ENSG00000197381
ADARB2	ENSG00000185736
ADAT1	ENSG00000065457
ADCP1	
ADCP2~withdrawn	
ADCR~withdrawn	
ADCY1	ENSG00000164742
ADCY2	ENSG00000078295
ADCY3	ENSG00000138031
ADCY4	ENSG00000129467
ADCY5	ENSG00000173175
ADCY6	ENSG00000174233
ADCY7	ENSG00000121281
ADCY8	ENSG00000155897
ADCY9	ENSG00000162104
ADCYAP1	ENSG00000141433
ADCYAP1R1	ENSG00000078549
ADD1	ENSG00000087274
ADD2	ENSG00000075340
ADD3	ENSG00000148700
ADDL~withdrawn	
ADFN	
PLIN2	ENSG00000147872
ADH1A	ENSG00000187758
ADH1B	ENSG00000196616
ADH1C	ENSG00000248144
ADH4	ENSG00000198099
ADH5	ENSG00000197894
ADH5P1~withdrawn	
ADH6	ENSG00000172955
ADH7	ENSG00000196344
ADK	ENSG00000156110
ADL~withdrawn	
ADM	ENSG00000148926
ADMLX~withdrawn	
ADMLY~withdrawn	
ADORA1	ENSG00000163485
ADORA2A	ENSG00000128271
ADORA2B	ENSG00000170425
ADORA2BP1	ENSG00000236136
ADORA2L1~withdrawn	
ADORA2L2~withdrawn	
ADORA3	ENSG00000282608
ADPRH	ENSG00000144843
PARP1	ENSG00000143799
PARP4	ENSG00000102699
PARP2	ENSG00000129484
PARP3	ENSG00000041880
PARP4P3	ENSG00000249263
PARP1P1	ENSG00000227105
PARP1P2	ENSG00000258995
ADRA1A	ENSG00000120907
ADRA1B	ENSG00000170214
ADRA1C~withdrawn	
ADRA1D	ENSG00000171873
ADRA2A	ENSG00000150594
ADRA2B	ENSG00000274286
ADRA2C	ENSG00000184160
ADRA2L1~withdrawn	
ADRB1	ENSG00000043591
ADRB2	ENSG00000169252
ADRB2RL1~withdrawn	
ADRB3	ENSG00000188778
GRK2	ENSG00000173020
GRK3	ENSG00000100077
ADSL	ENSG00000239900
ADSS	ENSG00000035687
ADT~withdrawn	
ADTAA~withdrawn	
ADTAB~withdrawn	
ADTB1~withdrawn	
AP1B1P1	ENSG00000234479
AP1B1P2	ENSG00000232707
ADTB2~withdrawn	
ADTG~withdrawn	
AE1~withdrawn	
AE2~withdrawn	
AEBP1	ENSG00000106624
CRISP1	ENSG00000124812
AEMK~withdrawn	
AEPLC~withdrawn	
AES	ENSG00000104964
AEZ~withdrawn	
AF8T	
AFA	
AFCP~withdrawn	
AFD1	
AFG3~withdrawn	
AFG3L1P	ENSG00000223959
AFG3L2	ENSG00000141385
AFM	ENSG00000079557
AFP	ENSG00000081051
AGA	ENSG00000038002
ACAN	ENSG00000157766
AGER	ENSG00000204305
AGL	ENSG00000162688
AGMX1~withdrawn	
AGMX2	
AGPAT1	ENSG00000204310
AGPAT2	ENSG00000169692
AGPAT3	ENSG00000160216
AGPS	ENSG00000018510
AGR2	ENSG00000106541
AGRN	ENSG00000188157
AGRP	ENSG00000159723
AGS~withdrawn	
AGS1~withdrawn	
AGT	ENSG00000135744
AGTBP~withdrawn	
AGTIL~withdrawn	
AGTR1	ENSG00000144891
AGTR1B~withdrawn	
AGTR2	ENSG00000180772
APLNR	ENSG00000134817
AGTRL2~withdrawn	
AGXT	ENSG00000172482
AHC~withdrawn	
AHCY	ENSG00000101444
AHCYL1	ENSG00000168710
AHDS~withdrawn	
AHRR	ENSG00000063438
AHNAK	ENSG00000124942
AHR	ENSG00000106546
AHSG	ENSG00000145192
AIC	
AIED~withdrawn	
AIF1	ENSG00000204472
AIH1~withdrawn	
AIH2~withdrawn	
AIH3	
CRYBG1	ENSG00000112297
AIM2	ENSG00000163568
AIP	ENSG00000110711
AIPL1	ENSG00000129221
AIRE	ENSG00000160224
AK1	ENSG00000106992
AK2	ENSG00000004455
AK4	ENSG00000162433
AK4P1	ENSG00000263535
AK5	ENSG00000154027
AK6~withdrawn	
AKAP1	ENSG00000121057
AKAP10	ENSG00000108599
AKAP11	ENSG00000023516
AKAP12	ENSG00000131016
AKAP13	ENSG00000170776
AKAP2	ENSG00000241978
AKAP3	ENSG00000111254
AKAP4	ENSG00000147081
AKAP5	ENSG00000179841
AKAP6	ENSG00000151320
AKAP7	ENSG00000118507
AKAP8	ENSG00000105127
AKAP9	ENSG00000127914
AKR1A1	ENSG00000117448
AKR1B1	ENSG00000085662
AKR1B10	ENSG00000198074
AKR1B11~withdrawn	
AKR1C1	ENSG00000187134
AKR1C2	ENSG00000151632
AKR1C3	ENSG00000196139
AKR1C4	ENSG00000198610
AKR1D1	ENSG00000122787
AKR7A2	ENSG00000053371
AKR7A3	ENSG00000162482
AKT1	ENSG00000142208
AKT2	ENSG00000105221
AKT3	ENSG00000117020
AKU~withdrawn	
ALAD	ENSG00000148218
ALAS1	ENSG00000023330
ALAS2	ENSG00000158578
ALAS3~withdrawn	
ALB	ENSG00000163631
ALCAM	ENSG00000170017
ALD~withdrawn	
ALDH1A1	ENSG00000165092
ALDH3A2	ENSG00000072210
ALDH2	ENSG00000111275
ALDH3A1	ENSG00000108602
ALDH4A1	ENSG00000159423
ALDH1B1	ENSG00000137124
ALDH5A1	ENSG00000112294
ALDH1A3	ENSG00000184254
ALDH3B1	ENSG00000006534
ALDH3B2	ENSG00000132746
ALDH9A1	ENSG00000143149
ALDL1~withdrawn	
ALDOA	ENSG00000149925
ALDOAP1	ENSG00000242849
ALDOAP2	ENSG00000214297
ALDOB	ENSG00000136872
ALDOC	ENSG00000109107
ALDR1~withdrawn	
AKR1B1P1	ENSG00000229991
ALDRL2~withdrawn	
AKR1B1P3	ENSG00000213785
AKR1B1P4	ENSG00000237876
ALDRL5~withdrawn	
AKR1B1P2	ENSG00000213452
ALFN1~withdrawn	
ALK	ENSG00000171094
ALMS1	ENSG00000116127
ALOX12	ENSG00000108839
ALOX12B	ENSG00000179477
ALOX12P1	ENSG00000264958
ALOX12P2	ENSG00000262943
ALOX15	ENSG00000161905
ALOX15B	ENSG00000179593
ALOX5	ENSG00000012779
ALOX5AP	ENSG00000132965
ALPI	ENSG00000163295
ALPL	ENSG00000162551
ALPP	ENSG00000163283
ALPPL1~withdrawn	
ALPG	ENSG00000163286
ALS1~withdrawn	
ALS2	ENSG00000003393
ALS3	
SETX	ENSG00000107290
ALS5	
ZBED1	ENSG00000214717
ALUNC~withdrawn	
ALX3	ENSG00000156150
ALX4	ENSG00000052850
AMACR	ENSG00000242110
AMBN	ENSG00000178522
AMBP	ENSG00000106927
AMCD1~withdrawn	
AMCD2B~withdrawn	
AMCN	
AMD1	ENSG00000123505
AMD2~withdrawn	
AMDM~withdrawn	
AMD1P2	ENSG00000237801
AMELX	ENSG00000125363
AMELY	ENSG00000099721
AMFR	ENSG00000159461
AMH	ENSG00000104899
AMHR2	ENSG00000135409
AMLCR2	
AMMECR1	ENSG00000101935
AMPD1	ENSG00000116748
AMPD2	ENSG00000116337
AMPD3	ENSG00000133805
AMPH	ENSG00000078053
AMPHL~withdrawn	
AMT	ENSG00000145020
AMY1A	ENSG00000237763
AMY1B	ENSG00000174876
AMY1C	ENSG00000187733
AMY2A	ENSG00000243480
AMY2B	ENSG00000240038
AMYP1	ENSG00000227408
AN1~withdrawn	
AN2~withdrawn	
ANCR	
ANG	ENSG00000214274
ANGPT1	ENSG00000154188
ANGPT2	ENSG00000091879
ANGPT3~withdrawn	
ANGPT4	ENSG00000101280
ANGPT5~withdrawn	
ANGPTL1	ENSG00000116194
ANGPTL2	ENSG00000136859
ANGPTL3	ENSG00000132855
ANK1	ENSG00000029534
ANK2	ENSG00000145362
ANK3	ENSG00000151150
ANKRD2	ENSG00000165887
RIPK4	ENSG00000183421
TRPA1	ENSG00000104321
ANOP1	
ANP~withdrawn	
ANPEP	ENSG00000166825
ANPRA~withdrawn	
ANPRB~withdrawn	
ANPRC~withdrawn	
ANT1~withdrawn	
ANT2~withdrawn	
ANT3~withdrawn	
SLC25A5P3	ENSG00000213673
ANTP2~withdrawn	
ANTP3~withdrawn	
ANTP4~withdrawn	
SLC25A5P5	ENSG00000226421
SLC25A5P6	ENSG00000213332
SLC25A5P7	ENSG00000218180
ANX1~withdrawn	
ANX11~withdrawn	
ANX13~withdrawn	
ANX2~withdrawn	
ANX2L1~withdrawn	
ANX2L2~withdrawn	
ANX2L3~withdrawn	
ANX2L4~withdrawn	
ANX2LG~withdrawn	
ANX2P1~withdrawn	
ANX2P2~withdrawn	
ANX2P3~withdrawn	
ANX3~withdrawn	
ANX31~withdrawn	
ANX4~withdrawn	
ANX5~withdrawn	
ANX6~withdrawn	
ANX7~withdrawn	
ANX8~withdrawn	
ANXA1	ENSG00000135046
ANXA10	ENSG00000109511
ANXA11	ENSG00000122359
ANXA13	ENSG00000104537
ANXA2	ENSG00000182718
ANXA2P1	
ANXA2P2	ENSG00000231991
ANXA2P3	ENSG00000216740
ANXA3	ENSG00000138772
ANXA4	ENSG00000196975
ANXA5	ENSG00000164111
ANXA6	ENSG00000197043
ANXA7	ENSG00000138279
ANXA8	ENSG00000265190
ANXA9	ENSG00000143412
AOAH	ENSG00000136250
AOC2	ENSG00000131480
AOC3	ENSG00000131471
AOM~withdrawn	
AOP1~withdrawn	
AOX1	ENSG00000138356
AP1B1	ENSG00000100280
AP1G1	ENSG00000166747
AP1G2	ENSG00000213983
SYNRG	ENSG00000275066
AP1M2	ENSG00000129354
AP1S1	ENSG00000106367
AP1S2	ENSG00000182287
AP2A1	ENSG00000196961
AP2A2	ENSG00000183020
AP2B1	ENSG00000006125
AP2M1	ENSG00000161203
AP2S1	ENSG00000042753
AP3B1	ENSG00000132842
AP3B2	ENSG00000103723
AP3D1	ENSG00000065000
AP3M1	ENSG00000185009
AP3M2	ENSG00000070718
AP3S2	ENSG00000157823
AP4B1	ENSG00000134262
AP4E1	ENSG00000081014
AP4M1	ENSG00000221838
AP4S1	ENSG00000100478
APAF1	ENSG00000120868
APAH1~withdrawn	
APBA1	ENSG00000107282
APBA2	ENSG00000034053
APBA3	
APBB1	ENSG00000166313
APBB2	ENSG00000163697
APC	ENSG00000134982
APCS	ENSG00000132703
APECED~withdrawn	
APEH	ENSG00000164062
APEX1	ENSG00000100823
ATG12	ENSG00000145782
ATG5	ENSG00000057663
BIRC2	ENSG00000110330
BIRC3	ENSG00000023445
XIAP	ENSG00000101966
BIRC5	ENSG00000089685
API5	ENSG00000166181
API5P1	ENSG00000234558
API6~withdrawn	
APLP1	ENSG00000105290
APLP2	ENSG00000084234
APNH~withdrawn	
APOA1	ENSG00000118137
APOA2	ENSG00000158874
APOA4	ENSG00000110244
APOB	ENSG00000084674
APOBEC1	ENSG00000111701
APOBEC2	ENSG00000124701
APOBER1~withdrawn	
APOC1	ENSG00000130208
APOC1P1	ENSG00000214855
APOC2	ENSG00000234906
APOC3	ENSG00000110245
APOC4	ENSG00000267467
APOD	ENSG00000189058
APOE	ENSG00000130203
APOEL1~withdrawn	
APOF	ENSG00000175336
APOH	
APOJ~withdrawn	
APOL1	ENSG00000100342
APOL2	ENSG00000128335
APP	ENSG00000142192
NAE1	ENSG00000159593
APPBP2	ENSG00000062725
APPL~withdrawn	
APPL2~withdrawn	
APR~withdrawn	
APRT	ENSG00000198931
APS~withdrawn	
APT1~withdrawn	
APT1LG1~withdrawn	
SHROOM2	ENSG00000146950
SHROOM2P1	ENSG00000226863
APY~withdrawn	
AQP1	ENSG00000240583
AQP2	ENSG00000167580
AQP2L~withdrawn	
AQP3	ENSG00000165272
AQP4	ENSG00000171885
AQP5	ENSG00000161798
AQP6	ENSG00000086159
AQP7	ENSG00000165269
AQP7L~withdrawn	
AQP8	ENSG00000103375
AQP9	ENSG00000103569
AR	ENSG00000169083
ARA~withdrawn	
ARAF	ENSG00000078061
ARAFP2	ENSG00000224368
ARC	ENSG00000198576
ARCN1	ENSG00000095139
ARCN2~withdrawn	
AREG	ENSG00000109321
ARF1	ENSG00000143761
ARF2~withdrawn	
ARF3	ENSG00000134287
ARF4	ENSG00000168374
ARL4D	ENSG00000175906
ARF4P1	ENSG00000271525
ARF5	ENSG00000004059
ARF6	ENSG00000165527
TRIM23	ENSG00000113595
ARFGAP3	ENSG00000242247
ARFRP1	ENSG00000101246
ARG1	ENSG00000118520
ARG2	
ARH12~withdrawn	
ARH6~withdrawn	
RHOA	ENSG00000067560
RHOB	ENSG00000143878
RHOC	ENSG00000155366
RHOD	ENSG00000173156
RND3	ENSG00000115963
RHOG	ENSG00000177105
ARHGAP1	ENSG00000175220
ARHGAP4	ENSG00000089820
ARHGAP5	
ARHGAP6	ENSG00000047648
ARHGAP8	ENSG00000241484
ARHGDIA	ENSG00000141522
ARHGDIB	
ARHGDIG	ENSG00000242173
ARHGEF1	ENSG00000076928
ARHGEF2	ENSG00000116584
ARHGEF3	ENSG00000163947
ARHGEF4	ENSG00000136002
ARHGEF6	ENSG00000129675
RHOH	ENSG00000168421
DIRAS3	ENSG00000162595
RHOJ	ENSG00000126785
ARIH1	ENSG00000166233
ARIH2	ENSG00000177479
PHOX2A	ENSG00000165462
ARL1	ENSG00000120805
ARL2	ENSG00000213465
ARL3	ENSG00000138175
ARL4A	ENSG00000122644
ARL5A	ENSG00000162980
ARL6IP1	ENSG00000170540
ARL4C	ENSG00000188042
ARMD1~withdrawn	
ARNT	ENSG00000143437
ARNTL	ENSG00000133794
ARP1~withdrawn	
ARPC1A	ENSG00000241685
ARPC1B	ENSG00000130429
ARPC2	ENSG00000163466
ARPC3	ENSG00000111229
ARPC4	ENSG00000241553
ARPC5	ENSG00000162704
ARR1~withdrawn	
ARR3	ENSG00000120500
ARRB1	ENSG00000137486
ARRB2	ENSG00000141480
ARSA	ENSG00000100299
ARSB	ENSG00000113273
ARSC1~withdrawn	
ARSC2	
ARSD	ENSG00000006756
ARSDP1	ENSG00000225117
ARSE	ENSG00000157399
ARSEP1	ENSG00000224060
ARSF	ENSG00000062096
ARSFP1	ENSG00000232226
ART1	ENSG00000129744
ART2P	ENSG00000238048
ART3	ENSG00000156219
ART4	ENSG00000111339
ARTN	ENSG00000117407
ARVCF	ENSG00000099889
ARVD1~withdrawn	
ARVD2~withdrawn	
ARVD3	
ARVD4	
ARVD5~withdrawn	
AS~withdrawn	
ASAH1	ENSG00000104763
NAAA	ENSG00000138744
ASB~withdrawn	
ASCL1	ENSG00000139352
ASCL2	ENSG00000183734
ASCL3	ENSG00000176009
ASD1	
ASGR1	ENSG00000141505
ASGR2	ENSG00000161944
ASH2L	ENSG00000129691
ASIP	ENSG00000101440
ASL	ENSG00000126522
ASLP1	ENSG00000244723
ASLN~withdrawn	
ASMD~withdrawn	
ASMT	ENSG00000196433
ASMTL	ENSG00000169093
ASNA1	
ASNS	ENSG00000070669
ASNSP1	ENSG00000248498
ASNSP2	
ASPA	ENSG00000108381
ASPH	ENSG00000198363
ASS1	ENSG00000130707
ASS1P1	ENSG00000220517
ASS1P10	ENSG00000215325
ASS1P11	ENSG00000225308
ASS1P12	ENSG00000237437
ASS1P13	
ASS1P14	
ASS1P2	ENSG00000223922
ASS1P3	
ASS1P4	ENSG00000213487
ASS1P5	ENSG00000227881
ASS1P6	ENSG00000215583
ASS1P7	ENSG00000236893
ASS1P8	ENSG00000251418
ASS1P9	ENSG00000217791
ASTN1	ENSG00000152092
ASVS1~withdrawn	
SERPINC1	ENSG00000117601
ATA~withdrawn	
ZFHX3	ENSG00000140836
ATC~withdrawn	
ATCAY	ENSG00000167654
ATD	
ATDC~withdrawn	
ATE1	ENSG00000107669
ATF1	ENSG00000123268
ATF2	ENSG00000115966
ATF3	ENSG00000162772
ATF4	ENSG00000128272
ATF4P4	ENSG00000256167
ATF4P3	ENSG00000228218
ATF4P1	ENSG00000213338
ATF5	ENSG00000169136
ATF6	ENSG00000118217
ATF7	ENSG00000170653
ATHS	
ATIC	ENSG00000138363
ATM	ENSG00000149311
ATN1L~withdrawn	
ATOH1	ENSG00000172238
ATOX1	ENSG00000177556
ATP1A1	ENSG00000163399
ATP1A2	ENSG00000018625
ATP1A3	ENSG00000105409
ATP1AL1~withdrawn	
ATP1AL2~withdrawn	
ATP1B1	ENSG00000143153
ATP1B2	ENSG00000129244
ATP1B3	ENSG00000069849
ATP1B3P1	ENSG00000271707
ATP1B4	ENSG00000101892
ATP1B1P1	ENSG00000249212
ATP1G1~withdrawn	
ATP2A1	ENSG00000196296
ATP2A2	ENSG00000174437
ATP2A3	ENSG00000074370
ATP2B1	ENSG00000070961
ATP2B2	ENSG00000157087
ATP2B3	ENSG00000067842
ATP2B4	ENSG00000058668
ATP3~withdrawn	
ATP4A	ENSG00000105675
ATP4B	ENSG00000186009
ATP5~withdrawn	
ATP5A~withdrawn	
ATP5F1A	ENSG00000152234
ATP5A1P5~withdrawn	
ATP5AL2~withdrawn	
ATP5F1AP1	ENSG00000234861
ATP5F1AP2	ENSG00000227682
ATP5F1AP3	ENSG00000263232
ATP5F1B	ENSG00000110955
ATP5F1BP1	ENSG00000231635
ATP5BL2~withdrawn	
ATP5F1C	ENSG00000165629
ATP5F1CP1	ENSG00000224004
ATP5CL1~withdrawn	
ATP5CL2~withdrawn	
ATP5F1D	ENSG00000099624
ATP5F1E	ENSG00000124172
ATP5F1EP1	ENSG00000250922
ATP5PB	ENSG00000116459
ATP5MC1	ENSG00000159199
ATP5MC2	ENSG00000135390
ATP5MC3	ENSG00000154518
ATP5MC2P1	ENSG00000225712
ATP5PD	ENSG00000167863
ATP5ME	ENSG00000169020
ATP5PF	ENSG00000154723
ATP5MF	ENSG00000241468
ATP5MFP1	ENSG00000224421
ATP5PO	ENSG00000241837
ATP6V1A	ENSG00000114573
ATP6V1A2~withdrawn	
ATP6V1B1	ENSG00000116039
ATP6V1B2	ENSG00000147416
ATP6V0C	ENSG00000185883
ATP6V1C1	ENSG00000155097
ATP6V1E1	ENSG00000131100
ATP6V1E1P3	
ATP6V1E1P1	ENSG00000225099
ATP6V1E1P2	
ATP6V0B	ENSG00000117410
ATP6V1G2	ENSG00000213760
ATP6V0E1	ENSG00000113732
ATP6V1G1	ENSG00000136888
ATP6V0A1	ENSG00000033627
ATP6V0A4	ENSG00000105929
ATP6N2~withdrawn	
ATP6AP1	ENSG00000071553
ATP7A	ENSG00000165240
ATP7B	ENSG00000123191
ATP5IF1	ENSG00000130770
ATPL~withdrawn	
ATPM~withdrawn	
ATPSB~withdrawn	
ATPSBL1~withdrawn	
ATPSBL2~withdrawn	
ALDH7A1	ENSG00000164904
ALDH7A1P1	ENSG00000251400
ALDH7A1P2	ENSG00000232292
ALDH7A1P3	ENSG00000243853
ALDH7A1P4	ENSG00000234489
ATR	ENSG00000175054
ATRC1~withdrawn	
ATRC2~withdrawn	
ATRN	ENSG00000088812
ATRX	ENSG00000085224
ATS~withdrawn	
KIF1A	ENSG00000130294
AUF1~withdrawn	
AUH	ENSG00000148090
AUP1	ENSG00000115307
AUTS1	
AVED~withdrawn	
AVP	ENSG00000101200
AVPR1A	ENSG00000166148
AVPR1B	ENSG00000198049
AVPR2	ENSG00000126895
AVPR3~withdrawn	
AVR~withdrawn	
AVRR~withdrawn	
AWAL~withdrawn	
AXA1~withdrawn	
AXIN1	ENSG00000103126
AXIN2	ENSG00000168646
AXL	ENSG00000167601
AXPC1~withdrawn	
AXT~withdrawn	
AZF1	
AZF2~withdrawn	
AZGP1	ENSG00000160862
AZGP1P1	ENSG00000214313
AZGP1P2	ENSG00000214252
AZU1	ENSG00000172232
B2M	ENSG00000166710
B2MR	
B3GALT1	ENSG00000172318
B3GALT2	ENSG00000162630
B3GALNT1	ENSG00000169255
B3GALT4	ENSG00000235863
B3GALT5	ENSG00000183778
B3GAT1	ENSG00000109956
B3GAT2	ENSG00000112309
B3GAT3	ENSG00000149541
B4GALT1	ENSG00000086062
B4GALT2	ENSG00000117411
B4GALT3	ENSG00000158850
B4GALT4	ENSG00000121578
B4GALT5	ENSG00000158470
B4GALT6	ENSG00000118276
B4GALT7	ENSG00000027847
BA2R~withdrawn	
BAAT	ENSG00000136881
BACE1	ENSG00000186318
BACE2	ENSG00000182240
BACH1	ENSG00000156273
BAD	ENSG00000002330
BAG1	ENSG00000107262
BAG2	ENSG00000112208
BAG3	ENSG00000151929
BAG4	ENSG00000156735
BAG5	ENSG00000166170
BAGE	
ADGRB1	ENSG00000181790
ADGRB2	ENSG00000121753
ADGRB3	ENSG00000135298
MAGI1	ENSG00000151276
BAIAP2	ENSG00000175866
BAIAP3	ENSG00000007516
BAK1	ENSG00000030110
BAP1	ENSG00000163930
NKX3-2	ENSG00000109705
BARD1	ENSG00000138376
BARHL1	ENSG00000125492
BARHL2	ENSG00000143032
BARX1	ENSG00000131668
BARX2	ENSG00000043039
BASP1	ENSG00000176788
BATF	ENSG00000156127
BAX	ENSG00000087088
BAZ1A	ENSG00000198604
BAZ1B	ENSG00000009954
BAZ2A	ENSG00000076108
BAZ2B	ENSG00000123636
BBOX1	ENSG00000129151
BBS~withdrawn	
BBS1	ENSG00000174483
BBS2	ENSG00000125124
BBS3~withdrawn	
BBS4	ENSG00000140463
BBS5	ENSG00000163093
BCAR1	ENSG00000050820
BCAR2~withdrawn	
BCAR3	ENSG00000137936
BCAS1	ENSG00000064787
BCAS2	ENSG00000116752
BCAT1	ENSG00000060982
BCAT2	ENSG00000105552
BCCIP	ENSG00000107949
BCD1~withdrawn	
BCEI~withdrawn	
BCGF1~withdrawn	
BCH~withdrawn	
BCHE	ENSG00000114200
BCHEL1~withdrawn	
BCHEL3~withdrawn	
BCKDHA	ENSG00000248098
BCKDHB	ENSG00000083123
BCL1~withdrawn	
BCL10	ENSG00000142867
BCL2	ENSG00000171791
